type,x,y,10:3c:59:76:a2:7e,12:bb:f3:82:05:5a,14:77:40:57:6d:8c,26:e9:74:dd:11:7a,32:8d:15:76:f1:7f,44:2a:8f:06:5f:5a,4a:01:ea:19:99:5a,4a:bf:6e:b9:aa:5c,4c:81:25:01:60:a8,52:d0:21:8b:42:a0,62:00:b7:d7:42:fa,62:fc:c6:87:6d:c1,88:1f:a1:3e:6e:02,98:25:4a:84:aa:d0,98:a9:42:cf:3e:68,98:ba:5f:a8:42:c0,98:ba:5f:a8:42:c2,b4:1c:30:12:00:a9,be:1e:a4:86:d7:bf,d0:27:87:61:6c:6e,d8:84:66:7f:45:98,d8:84:66:85:9c:b8,d8:84:66:85:9c:ba,d8:84:66:95:9b:a8,d8:84:66:c6:9e:00,d8:84:66:c6:9e:08,d8:84:66:c6:9e:50,d8:84:66:c6:9f:20,d8:84:66:c6:9f:28,d8:84:66:c6:be:10,d8:84:66:c6:be:18,ea:42:7c:27:d2:e6,ee:78:b0:dd:87:8f
static,19.8,5.5,0.45639299042122883,0.3579061475293431,0.14297089132621418,0.25193405801249114,0.0,0.15872449286802343,0.0,0.0,0.0,0.0,0.0,0.0,0.7852615646401792,0.7103598964411469,0.0,0.2531473922515314,0.04468336604029464,0.05742291669416799,0.0,0.6973545039674359,0.6754508428067082,0.2822466082664955,0.6004648441673052,0.06844939555148696,0.716465453469157,0.4266312433823784,0.606822666065897,0.7643581085276439,0.7904430330900734,0.8043141943655063,0.7166348874518217,0.0,0.0
static,20.6,4.0,0.3785602204071585,0.3709575945979547,0.11858878919745575,0.26581580293042184,0.0,0.18850209683564084,0.0,0.0,0.0,0.0,0.0,0.056846308369923645,0.7959933798507608,0.7187772268031207,0.056846308369923645,0.2564779308707633,0.03706311282549635,0.10447638257440031,0.0,0.6528937560594532,0.7092922538864466,0.34709014391267196,0.6435532355610801,0.11768286817749816,0.7278814146422012,0.4451175981985013,0.6089371717143169,0.7627750219318858,0.7616713720057312,0.7924781220687172,0.6928394268110138,0.0,0.0
static,22.0,4.0,0.31445215034419655,0.39663923143139507,0.09850612335798775,0.22080067138866166,0.0,0.15657981610060462,0.0,0.0,0.0,0.0,0.0,0.16011760880783113,0.8007547256658819,0.7300525138594656,0.16011760880783113,0.26674118392707524,0.06480074090962634,0.14323264021253662,0.0,0.579300564382464,0.7319917200460283,0.4036946740354608,0.679425810064116,0.18645923370711304,0.7389138536158478,0.46350633870616625,0.619860804742103,0.7621321217522018,0.7314031436743978,0.7802150560716399,0.6673972539072133,0.0,0.0
static,23.0,5.5,0.26145944124887804,0.43160338171955853,0.08190548528474347,0.18359047666064743,0.0,0.18636701173604775,0.0,0.0,0.0,0.0,0.0,0.30165788188915504,0.8013537484149447,0.7392956752501931,0.2454832418182538,0.287576164474079,0.11905725225495817,0.1190945141815042,0.0,0.4816745622912994,0.7462614739943398,0.4564202761692987,0.7083939991894981,0.24964631280234628,0.7578854154011767,0.48563644395874106,0.6377401362606866,0.7667453041535371,0.7013376493038003,0.7693745057551006,0.6416189018155748,0.0,0.0
static,25.99,4.64,0.21754616904582574,0.4790982300991838,0.06814909594553284,0.1527556422519981,0.0,0.2580778981828305,0.0,0.0,0.0,0.0,0.0,0.3629627253703387,0.8038724034162851,0.7464766689473215,0.2602380541261887,0.321893734399005,0.196855039703349,0.09909206258074332,0.0,0.40077518429924663,0.7618186589416509,0.5108514305852215,0.738347347474314,0.3147657592016923,0.7865049706783585,0.51822734593863,0.6558743086109478,0.7843051067567023,0.666958362632775,0.7615147099073148,0.6158031126745931,0.0,0.0
static,26.0,2.5,0.18109413509877406,0.5394090718607047,0.05673003409873857,0.12715990833769245,0.0,0.3712236922595457,0.0,0.0,0.0,0.0,0.0,0.41385135478883756,0.7615777715828724,0.7482485510150829,0.21663256833469105,0.36667235805154563,0.2667650526331334,0.0824881975486924,0.0,0.3336212983572944,0.7291189930342086,0.575003324635241,0.7705078929665572,0.38282851862842243,0.8152204764265838,0.5532967637995175,0.6709412188603202,0.7567327718464291,0.6268618726680029,0.7496901173227039,0.5794016410572671,0.0,0.0
static,27.0,-3.5,0.15079951862029356,0.5914925916778402,0.047239861350211826,0.10588776359138141,0.0,0.4652570853669407,0.0,0.0,0.0,0.0,0.0,0.45614396083623304,0.7264274792191344,0.7513296543849778,0.18039284930200045,0.4061175380152957,0.3245735224172026,0.06868903001973972,0.0,0.2778109360986032,0.7075191197311586,0.6344511243519928,0.8008604744663441,0.4438372689205438,0.8397839522406926,0.5850179955113405,0.6831802817501735,0.7338179102851716,0.5920105880039802,0.7398629154199127,0.549168386385215,0.0,0.0
static,27.0,5.5,0.1256013817201137,0.638485442666681,0.039346225453101194,0.08819424316478208,0.0,0.5495980778229208,0.0,0.0,0.0,0.0,0.0,0.5470206364000632,0.6831069576756528,0.7513217000525277,0.15024975763888415,0.43890005584335356,0.37397141608997125,0.057211303845187855,0.0,0.23138958101585783,0.6876963721215308,0.6838979888383367,0.8244315040991581,0.49450914805410573,0.8600634156762224,0.6115604138162779,0.6942269781764121,0.6590590508595738,0.5601793850172416,0.727532666558102,0.5199818743488244,0.0,0.0
static,28.0,0.5,0.10463030244495639,0.6664112094259417,0.03277676895624594,0.07346886005440692,0.0,0.6122771929903398,0.0,0.0,0.0,0.0,0.0,0.6226524966070863,0.6953021178619184,0.7532721831426232,0.1251632535306763,0.4596519876059261,0.40848651338992936,0.04765899819423485,0.0,0.19275553750077826,0.7212885520873427,0.7185394053859038,0.8446158918327625,0.5385711855686779,0.8799116406913194,0.6356806487152598,0.7037740520730806,0.6421898131680395,0.536529605180338,0.7236972592699108,0.5086251704131397,0.0,0.0
static,28.0,4.5,0.0871702214377401,0.6966411273666802,0.027307177186386228,0.06120881475125377,0.0,0.6582047339907122,0.0,0.0,0.0,0.0,0.0,0.685621998014933,0.6998296344782674,0.7511674271938843,0.104276756075295,0.4795062472857651,0.4395796532353338,0.03970594874537294,0.0,0.16058964271973591,0.7483296189794133,0.7533858892237577,0.8664018612875957,0.5787722327112373,0.8979971350883285,0.6587285644602962,0.7117978263290787,0.6030107251996536,0.5115169569113538,0.7180760674132335,0.49405053961229156,0.0,0.0
